track,fold,feature_set,model,accuracy,precision,recall,f1,error_rate,roc_auc
binary,1,original,KNN,0.9295774647887324,0.9979959919839679,0.6492829204693612,0.7867298578199052,0.07042253521126762,0.9160300443506579
binary,1,original,SVM,0.9731351069379238,0.9560439560439561,0.9074315514993481,0.9311036789297659,0.02686489306207618,0.9965241718100195
binary,1,original,DecisionTree,0.9410537297861241,0.9079939668174962,0.7848761408083442,0.8419580419580419,0.058946270213875884,0.8451801551529105
binary,1,original,LogisticRegression,0.8215962441314554,0.9770114942528736,0.11082138200782268,0.1990632318501171,0.17840375586854462,0.5214643496462532
binary,1,original,LDA_Classifier,0.8242044861763171,0.9428571428571428,0.1290743155149935,0.22706422018348624,0.17579551382368286,0.5221895698373016
binary,1,original,MLP_ANN,0.9752217005738133,0.9565217391304348,0.9178617992177314,0.9367930805056554,0.0247782994261867,0.9886638646924468
binary,1,pca,KNN,0.9311424100156495,0.9960552268244576,0.6584093872229465,0.792778649921507,0.06885758998435054,0.9178915562009514
binary,1,pca,SVM,0.97339593114241,0.9561042524005487,0.9087353324641461,0.9318181818181818,0.026604068857590035,0.9963968544318137
binary,1,pca,DecisionTree,0.9475743348982786,0.8985915492957747,0.8318122555410691,0.8639133378469871,0.05242566510172142,0.8572506502963583
binary,1,pca,LogisticRegression,0.8101199791340636,0.975609756097561,0.05215123859191656,0.09900990099009901,0.18988002086593636,0.5177685323303246
binary,1,pca,LDA_Classifier,0.812206572769953,0.9795918367346939,0.06258148631029987,0.11764705882352941,0.187793427230047,0.5161782341270937
binary,1,pca,MLP_ANN,0.9700052164840898,0.9465753424657535,0.9009126466753585,0.9231796927187709,0.02999478351591023,0.9886868200795021
binary,1,lda_reduction,KNN,0.8427230046948356,0.6822222222222222,0.4002607561929596,0.504519309778143,0.15727699530516437,0.727478746074735
binary,1,lda_reduction,SVM,0.8534167970787689,0.8193146417445483,0.3428943937418514,0.4834558823529412,0.14658320292123106,0.7171764533841978
binary,1,lda_reduction,DecisionTree,0.8390714658320292,0.6875,0.35853976531942633,0.4712939160239931,0.16092853416797082,0.6706607623143961
binary,1,lda_reduction,LogisticRegression,0.8221178925404278,0.9381443298969072,0.11864406779661017,0.21064814814814814,0.17788210745957223,0.5221895698373016
binary,1,lda_reduction,LDA_Classifier,0.8242044861763171,0.9428571428571428,0.1290743155149935,0.22706422018348624,0.17579551382368286,0.5221895698373016
binary,1,lda_reduction,MLP_ANN,0.8570683359415754,0.8050139275766016,0.3767926988265971,0.5133214920071048,0.1429316640584246,0.794381796548105
binary,1,svd,KNN,0.9327073552425665,0.9922630560928434,0.6688396349413298,0.7990654205607477,0.06729264475743346,0.9306322211164906
binary,1,svd,SVM,0.9731351069379238,0.9547945205479452,0.9087353324641461,0.9311957247828991,0.02686489306207618,0.9961736770576635
binary,1,svd,DecisionTree,0.9530516431924883,0.9048275862068965,0.8552803129074316,0.8793565683646113,0.04694835680751175,0.8807269971080463
binary,1,svd,LogisticRegression,0.8069900886802295,0.9655172413793104,0.03650586701434159,0.07035175879396985,0.19300991131977052,0.524129725143248
binary,1,svd,LDA_Classifier,0.809076682316119,0.972972972972973,0.0469361147327249,0.08955223880597014,0.19092331768388104,0.5224378280973088
binary,1,svd,MLP_ANN,0.9692227438706312,0.9344042838018741,0.910039113428944,0.9220607661822986,0.03077725612936877,0.992614741864547
binary,1,filter_kbest,KNN,0.9402712571726656,0.9702797202797203,0.7235984354628422,0.8289768483943242,0.059728742827334425,0.9382920936970883
binary,1,filter_kbest,SVM,0.9616588419405321,0.9403409090909091,0.863102998696219,0.9000679809653297,0.03834115805946792,0.9866318878382785
binary,1,filter_kbest,DecisionTree,0.936358894105373,0.900459418070444,0.7666232073011734,0.828169014084507,0.06364110589462701,0.8498556148664188
binary,1,filter_kbest,LogisticRegression,0.8075117370892019,0.967741935483871,0.03911342894393742,0.07518796992481203,0.19248826291079812,0.5200615204373087
binary,1,filter_kbest,LDA_Classifier,0.8095983307250912,0.9512195121951219,0.05084745762711865,0.09653465346534654,0.19040166927490876,0.5242385506818813
binary,1,filter_kbest,MLP_ANN,0.9577464788732394,0.894393741851369,0.894393741851369,0.894393741851369,0.04225352112676062,0.9800713232377808
binary,1,wrapper_sfs,KNN,0.9402712571726656,0.9637931034482758,0.7288135593220338,0.829992576095026,0.059728742827334425,0.9408469432564087
binary,1,wrapper_sfs,SVM,0.9572248304642671,0.9313304721030042,0.848761408083442,0.888130968622101,0.042775169535732904,0.9880755266242105
binary,1,wrapper_sfs,DecisionTree,0.9381846635367762,0.8885630498533724,0.7900912646675359,0.8364389233954451,0.06181533646322379,0.8609026823369774
binary,1,wrapper_sfs,LogisticRegression,0.8004694835680751,1.0,0.002607561929595828,0.005201560468140442,0.19953051643192488,0.5209032179626754
binary,1,wrapper_sfs,LDA_Classifier,0.8007303077725613,1.0,0.003911342894393742,0.007792207792207792,0.19926969222743873,0.5203603655687898
binary,1,wrapper_sfs,MLP_ANN,0.9538341158059468,0.9041095890410958,0.8604954367666232,0.8817635270541082,0.04616588419405321,0.9847941815745611
binary,1,embedded_l1,KNN,0.9277516953573292,0.9939516129032258,0.6427640156453716,0.7806809184481394,0.07224830464267085,0.9172706980010534
binary,1,embedded_l1,SVM,0.9715701617110067,0.9544198895027625,0.9009126466753585,0.9268947015425889,0.02842983828899326,0.996449141702329
binary,1,embedded_l1,DecisionTree,0.9366197183098591,0.896969696969697,0.771838331160365,0.8297126839523475,0.06338028169014087,0.8337432712021693
binary,1,embedded_l1,LogisticRegression,0.8182055294731351,0.972972972972973,0.0938722294654498,0.17122473246135553,0.18179447052686493,0.5249641959726898
binary,1,embedded_l1,LDA_Classifier,0.8229003651538863,0.9489795918367347,0.121251629726206,0.21502890173410405,0.17709963484611368,0.5222979702761745
binary,1,embedded_l1,MLP_ANN,0.97339593114241,0.9536152796725784,0.9113428943937418,0.932,0.026604068857590035,0.9892530529602034
binary,1,ga_selection,KNN,0.9358372456964006,0.9905838041431262,0.6857887874837028,0.810477657935285,0.06416275430359941,0.9283853563334976
binary,1,ga_selection,SVM,0.9650495565988524,0.9464033850493653,0.8748370273794003,0.9092140921409214,0.03495044340114761,0.9935833316683593
binary,1,ga_selection,DecisionTree,0.9347939488784559,0.8818316100443131,0.7783572359843546,0.8268698060941828,0.0652060511215441,0.8401669536798548
binary,1,ga_selection,LogisticRegression,0.804642670839854,0.95,0.024771838331160364,0.048284625158831,0.19535732916014603,0.4980460289518443
binary,1,ga_selection,LDA_Classifier,0.8056859676577987,0.9583333333333334,0.02998696219035202,0.05815423514538559,0.19431403234220135,0.4998892615124455
binary,1,ga_selection,MLP_ANN,0.9637454355764214,0.9243243243243243,0.8917861799217731,0.9077637690776377,0.03625456442357855,0.990578514012776
binary,2,original,KNN,0.9227758935559613,0.9855371900826446,0.6227154046997389,0.7632,0.07722410644403865,0.9067984295043422
binary,2,original,SVM,0.967910253065484,0.9459084604715673,0.8903394255874674,0.9172831203765972,0.03208974693451605,0.9935343047909141
binary,2,original,DecisionTree,0.9287764153404644,0.8651851851851852,0.762402088772846,0.8105482303955587,0.0712235846595356,0.8169757061824645
binary,2,original,LogisticRegression,0.8160709626924081,0.9692307692307692,0.08224543080939947,0.15162454873646208,0.1839290373075919,0.5566269757828004
binary,2,original,LDA_Classifier,0.8236368379859118,0.9411764705882353,0.12532637075718014,0.22119815668202766,0.1763631620140882,0.5489545494402215
binary,2,original,MLP_ANN,0.9681711453169841,0.9497206703910615,0.8877284595300261,0.9176788124156545,0.031828854683015884,0.988367282135016
binary,2,pca,KNN,0.9272110618314636,0.9879759519038076,0.643603133159269,0.7794466403162056,0.07278893816853638,0.9143776374630638
binary,2,pca,SVM,0.9684320375684842,0.946058091286307,0.8929503916449086,0.9187374076561451,0.03156796243151583,0.9934217191172603
binary,2,pca,DecisionTree,0.951995825723976,0.9121813031161473,0.8407310704960835,0.875,0.04800417427602399,0.8661671324748162
binary,2,pca,LogisticRegression,0.8053743803809027,1.0,0.02610966057441253,0.05089058524173028,0.1946256196190973,0.5158641514445444
binary,2,pca,LDA_Classifier,0.8069397338899035,1.0,0.033942558746736295,0.06565656565656566,0.19306026611009652,0.5169972443113375
binary,2,pca,MLP_ANN,0.9684320375684842,0.9399727148703957,0.8994778067885117,0.9192795196797865,0.03156796243151583,0.9882446935754231
binary,2,lda_reduction,KNN,0.835898773806418,0.6383838383838384,0.412532637075718,0.5011895321173672,0.16410122619358203,0.7334894918619075
binary,2,lda_reduction,SVM,0.8489433863814245,0.7575757575757576,0.35900783289817234,0.4871567759078831,0.15105661361857547,0.7135086207850606
binary,2,lda_reduction,DecisionTree,0.8351160970519176,0.6650246305418719,0.3524804177545692,0.46075085324232085,0.16488390294808242,0.6986892388527413
binary,2,lda_reduction,LogisticRegression,0.8205061309679103,0.9431818181818182,0.10835509138381201,0.19437939110070257,0.17949386903208975,0.5489545494402215
binary,2,lda_reduction,LDA_Classifier,0.8236368379859118,0.9411764705882353,0.12532637075718014,0.22119815668202766,0.1763631620140882,0.5489545494402215
binary,2,lda_reduction,MLP_ANN,0.8531176624054265,0.7481662591687042,0.39947780678851175,0.5208510638297872,0.14688233759457348,0.7921579076857068
binary,2,svd,KNN,0.9324289068614662,0.9884393063583815,0.6697127937336814,0.798443579766537,0.06757109313853382,0.9242264363931383
binary,2,svd,SVM,0.969997391077485,0.9465020576131687,0.9007832898172323,0.9230769230769231,0.03000260892251505,0.9933887308763976
binary,2,svd,DecisionTree,0.9512131489694756,0.9118065433854907,0.8368146214099217,0.8727025187202179,0.04878685103052438,0.8648601596545726
binary,2,svd,LogisticRegression,0.8043308113749021,1.0,0.020887728459530026,0.04092071611253197,0.19566918862509786,0.5123120627993949
binary,2,svd,LDA_Classifier,0.8058961648839029,1.0,0.028720626631853787,0.05583756345177665,0.19410383511609708,0.5115939832853904
binary,2,svd,MLP_ANN,0.9673884685624837,0.9348710990502035,0.8994778067885117,0.916833000665336,0.03261153143751627,0.9904959813937808
binary,2,filter_kbest,KNN,0.9337333681189669,0.9688644688644689,0.6906005221932114,0.8064024390243902,0.0662666318810331,0.9281837483324976
binary,2,filter_kbest,SVM,0.9493869032089747,0.9132947976878613,0.825065274151436,0.8669410150891632,0.050613096791025325,0.9827784356507963
binary,2,filter_kbest,DecisionTree,0.9324289068614662,0.8777943368107303,0.7689295039164491,0.8197633959638135,0.06757109313853382,0.8505326217521482
binary,2,filter_kbest,LogisticRegression,0.8027654578659014,1.0,0.013054830287206266,0.02577319587628866,0.19723454213409863,0.5210775704650108
binary,2,filter_kbest,LDA_Classifier,0.8035481346204018,1.0,0.016971279373368148,0.03337612323491656,0.19645186537959825,0.5204927208786194
binary,2,filter_kbest,MLP_ANN,0.9483433342029741,0.8806970509383378,0.8577023498694517,0.8690476190476191,0.05165666579702588,0.9706355706029228
binary,2,wrapper_sfs,KNN,0.9386903208974694,0.9417637271214643,0.7389033942558747,0.8280907095830286,0.0613096791025306,0.9407714225636162
binary,2,wrapper_sfs,SVM,0.954082963735977,0.9287790697674418,0.8342036553524804,0.8789546079779917,0.04591703626402299,0.981142644558728
binary,2,wrapper_sfs,DecisionTree,0.9321680146099661,0.8787425149700598,0.7663185378590078,0.8186889818688982,0.06783198539003388,0.8565620208724049
binary,2,wrapper_sfs,LogisticRegression,0.8006783198539004,1.0,0.0026109660574412533,0.005208333333333333,0.19932168014609963,0.5183112404344743
binary,2,wrapper_sfs,LDA_Classifier,0.8009392121054004,1.0,0.0039164490861618795,0.007802340702210663,0.19906078789459958,0.5178162039941736
binary,2,wrapper_sfs,MLP_ANN,0.9527785024784764,0.903448275862069,0.8550913838120104,0.8786049631120053,0.0472214975215236,0.9800938313266551
binary,2,embedded_l1,KNN,0.9272110618314636,0.9860279441117764,0.6449086161879896,0.7797947908445146,0.07278893816853638,0.9061210000161748
binary,2,embedded_l1,SVM,0.966084007304983,0.9441340782122905,0.8825065274151436,0.9122807017543859,0.033915992695016994,0.9930558688847252
binary,2,embedded_l1,DecisionTree,0.9350378293764675,0.893455098934551,0.7663185378590078,0.8250175685172172,0.06496217062353249,0.8467615337531424
binary,2,embedded_l1,LogisticRegression,0.8134620401774068,1.0,0.06657963446475196,0.12484700122399021,0.18653795982259325,0.5436091774563044
binary,2,embedded_l1,LDA_Classifier,0.8184189929559093,0.972972972972973,0.09399477806788512,0.17142857142857143,0.18158100704409075,0.5428042643792549
binary,2,embedded_l1,MLP_ANN,0.9697364988259849,0.9476584022038568,0.8981723237597912,0.9222520107238605,0.030263501174015106,0.9903538127170307
binary,2,ga_selection,KNN,0.9347769371249673,0.9867924528301887,0.6827676240208878,0.8070987654320988,0.06522306287503266,0.922837525039139
binary,2,ga_selection,SVM,0.9673884685624837,0.9495091164095372,0.8838120104438643,0.9154834347532116,0.03261153143751627,0.9914613663005752
binary,2,ga_selection,DecisionTree,0.9308635533524654,0.8859784283513097,0.7506527415143603,0.8127208480565371,0.0691364466475346,0.8178387211289044
binary,2,ga_selection,LogisticRegression,0.8040699191234021,1.0,0.0195822454308094,0.03841229193341869,0.1959300808765979,0.518184820982394
binary,2,ga_selection,LDA_Classifier,0.8048525958779025,1.0,0.02349869451697128,0.04591836734693878,0.19514740412209752,0.515787107940078
binary,2,ga_selection,MLP_ANN,0.9673884685624837,0.9313593539703903,0.9033942558746736,0.9171636845593109,0.03261153143751627,0.9892990403188665
binary,3,original,KNN,0.9123402034959561,0.9908883826879271,0.5671447196870926,0.7213930348258707,0.08765979650404387,0.9072999402114795
binary,3,original,SVM,0.9710409600834855,0.9619718309859155,0.8904823989569752,0.9248476641841571,0.028959039916514495,0.993841697347618
binary,3,original,DecisionTree,0.933994260370467,0.873546511627907,0.7835723598435462,0.8261168384879725,0.06600573962953304,0.8492767970362585
binary,3,original,LogisticRegression,0.8207670232194104,0.9761904761904762,0.10691003911342895,0.1927144535840188,0.17923297678058958,0.5436443442015766
binary,3,original,LDA_Classifier,0.8257239759979128,0.9380530973451328,0.13820078226857888,0.2409090909090909,0.1742760240020872,0.5326778708482911
binary,3,original,MLP_ANN,0.9710409600834855,0.9517906336088154,0.9009126466753585,0.9256530475552579,0.028959039916514495,0.9861572140420527
binary,3,pca,KNN,0.915992695016958,0.989010989010989,0.5867014341590613,0.7364975450081833,0.08400730498304199,0.9137367740223555
binary,3,pca,SVM,0.9718236368379859,0.9608391608391609,0.8956975228161669,0.9271255060728745,0.028176363162014106,0.9935019318580962
binary,3,pca,DecisionTree,0.9483433342029741,0.8808567603748326,0.8578878748370273,0.869220607661823,0.05165666579702588,0.8831810554587429
binary,3,pca,LogisticRegression,0.8087659796504044,1.0,0.04432855280312908,0.08489388264669163,0.19123402034959558,0.5258451400777846
binary,3,pca,LDA_Classifier,0.8095486564049048,0.9743589743589743,0.04954367666232073,0.09429280397022333,0.1904513435950952,0.5246315096558886
binary,3,pca,MLP_ANN,0.9723454213409862,0.9412550066755674,0.9191655801825294,0.9300791556728232,0.027654578659013773,0.9876315156092264
binary,3,lda_reduction,KNN,0.8447691103574224,0.6541218637992832,0.4758800521512386,0.5509433962264151,0.15523088964257759,0.7552317081571783
binary,3,lda_reduction,SVM,0.8546830159144273,0.772020725388601,0.38852672750977835,0.5169124024284475,0.1453169840855727,0.7350569096563989
binary,3,lda_reduction,DecisionTree,0.8463344638664232,0.6995515695067265,0.4067796610169492,0.5144270403957131,0.1536655361335768,0.7095009316973561
binary,3,lda_reduction,LogisticRegression,0.8252021914949126,0.944954128440367,0.13428943937418514,0.23515981735159816,0.17479780850508742,0.5326778708482911
binary,3,lda_reduction,LDA_Classifier,0.8257239759979128,0.9380530973451328,0.13820078226857888,0.2409090909090909,0.1742760240020872,0.5326778708482911
binary,3,lda_reduction,MLP_ANN,0.8531176624054265,0.7207792207792207,0.43415906127770537,0.5419039869812856,0.14688233759457348,0.8038762182017348
binary,3,svd,KNN,0.9206887555439603,0.9873684210526316,0.6114732724902217,0.7552334943639292,0.07931124445603965,0.9265449549289809
binary,3,svd,SVM,0.9726063135924863,0.9610027855153204,0.8996088657105606,0.9292929292929293,0.027393686407513718,0.993865935936983
binary,3,svd,DecisionTree,0.9467779806939733,0.8970380818053597,0.8292046936114733,0.8617886178861789,0.05322201930602666,0.8728645590150118
binary,3,svd,LogisticRegression,0.8066788416384033,1.0,0.03389830508474576,0.06557377049180328,0.1933211583615967,0.5362928225709744
binary,3,svd,LDA_Classifier,0.8069397338899035,0.9655172413793104,0.03650586701434159,0.07035175879396985,0.19306026611009652,0.5347811000237283
binary,3,svd,MLP_ANN,0.9702582833289851,0.9394347240915208,0.910039113428944,0.9245033112582781,0.029741716671014884,0.9834018817650114
binary,3,filter_kbest,KNN,0.9269501695799635,0.9534450651769087,0.6675358539765319,0.7852760736196319,0.07304983042003654,0.9293104929278599
binary,3,filter_kbest,SVM,0.9501695799634751,0.9311377245508982,0.8109517601043025,0.8668989547038327,0.049830420036524936,0.9756389419728172
binary,3,filter_kbest,DecisionTree,0.9259066005739629,0.8631578947368421,0.7483702737940026,0.8016759776536313,0.0740933994260371,0.8300604859114261
binary,3,filter_kbest,LogisticRegression,0.8038090268719019,1.0,0.01955671447196871,0.03836317135549872,0.19619097312809808,0.5057981257191845
binary,3,filter_kbest,LDA_Classifier,0.8043308113749021,1.0,0.02216427640156454,0.04336734693877551,0.19566918862509786,0.504800091171115
binary,3,filter_kbest,MLP_ANN,0.9366031828854683,0.861878453038674,0.8135593220338984,0.8370221327967807,0.06339681711453171,0.9640456672033175
binary,3,wrapper_sfs,KNN,0.9321680146099661,0.9439579684763573,0.7027379400260756,0.8056801195814649,0.06783198539003388,0.9200113793798493
binary,3,wrapper_sfs,SVM,0.9428645969214714,0.9241486068111455,0.7783572359843546,0.8450106157112527,0.0571354030785286,0.9767598704213517
binary,3,wrapper_sfs,DecisionTree,0.9287764153404644,0.8611111111111112,0.7679269882659713,0.8118538938662991,0.0712235846595356,0.8539688776512552
binary,3,wrapper_sfs,LogisticRegression,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.5017779217918527
binary,3,wrapper_sfs,LDA_Classifier,0.8001565353509,1.0,0.001303780964797914,0.0026041666666666665,0.19984346464909997,0.5020419948444095
binary,3,wrapper_sfs,MLP_ANN,0.942081920166971,0.9085457271364318,0.7900912646675359,0.8451882845188284,0.05791807983302899,0.9736768919494715
binary,3,embedded_l1,KNN,0.915992695016958,0.9847494553376906,0.5893089960886571,0.7373572593800979,0.08400730498304199,0.908367288620365
binary,3,embedded_l1,SVM,0.9673884685624837,0.9572649572649573,0.8761408083441982,0.9149081007488087,0.03261153143751627,0.9941965588006916
binary,3,embedded_l1,DecisionTree,0.9269501695799635,0.8607407407407407,0.757496740547588,0.8058252427184466,0.07304983042003654,0.807466080858233
binary,3,embedded_l1,LogisticRegression,0.8163318549439081,0.9701492537313433,0.0847457627118644,0.15587529976019185,0.18366814505609186,0.5387570791564291
binary,3,embedded_l1,LDA_Classifier,0.8215496999739108,0.9278350515463918,0.11734028683181226,0.20833333333333334,0.1784503000260892,0.5324439897228381
binary,3,embedded_l1,MLP_ANN,0.9637359770414818,0.9672619047619048,0.847457627118644,0.9034051424600417,0.03626402295851816,0.9731194043940735
